osmid,y,x,street_count,highway,ref,railway,junction,geometry
4884680438,12.2167132,107.5711182,3,,,,,POINT (107.5711182 12.2167132)
4884680460,12.2489547,107.588283,3,,,,,POINT (107.588283 12.2489547)
4884680465,12.2453662,107.5956777,3,,,,,POINT (107.5956777 12.2453662)
4884680471,12.2497566,107.6079645,3,,,,,POINT (107.6079645 12.2497566)
4884680474,12.2512931,107.6097855,1,,,,,POINT (107.6097855 12.2512931)
4884687423,12.1720511,107.614768,3,,,,,POINT (107.614768 12.1720511)
4884687440,12.164846,107.6372825,3,,,,,POINT (107.6372825 12.164846)
4884690711,12.1748211,107.6051429,3,,,,,POINT (107.6051429 12.1748211)
4884692231,12.1669667,107.5837706,3,,,,,POINT (107.5837706 12.1669667)
4884692235,12.175404,107.5798304,3,,,,,POINT (107.5798304 12.175404)
4884697358,12.1872049,107.5641421,3,,,,,POINT (107.5641421 12.1872049)
4884697370,12.1720271,107.5654484,3,,,,,POINT (107.5654484 12.1720271)
4884697371,12.1687601,107.5668002,3,,,,,POINT (107.5668002 12.1687601)
4884697374,12.1626772,107.5644212,3,,,,,POINT (107.5644212 12.1626772)
4884697375,12.158558,107.5650662,3,,,,,POINT (107.5650662 12.158558)
4884731716,12.0106106,107.5658512,3,,,,,POINT (107.5658512 12.0106106)
4884733325,11.9936147,107.5820171,4,,,,,POINT (107.5820171 11.9936147)
4884733329,11.9866938,107.5879969,3,,,,,POINT (107.5879969 11.9866938)
4884733330,11.984806,107.5847688,3,,,,,POINT (107.5847688 11.984806)
4884752315,11.97675,107.5600606,3,,,,,POINT (107.5600606 11.97675)
4884752431,11.9699818,107.5365228,3,,,,,POINT (107.5365228 11.9699818)
4888982914,11.9771945,107.5885807,3,,,,,POINT (107.5885807 11.9771945)
4888982915,11.9761071,107.589334,3,,,,,POINT (107.589334 11.9761071)
4888982916,11.9777456,107.5917547,3,,,,,POINT (107.5917547 11.9777456)
4888985623,11.9715468,107.5927236,3,,,,,POINT (107.5927236 11.9715468)
5374250485,12.3189852,107.3095555,4,,,,,POINT (107.3095555 12.3189852)
5374250684,12.2966333,107.2319806,3,,,,,POINT (107.2319806 12.2966333)
5374262086,12.2849266,107.3660019,3,,,,,POINT (107.3660019 12.2849266)
5374262087,12.2850024,107.3688612,3,,,,,POINT (107.3688612 12.2850024)
5535143392,12.1964665,107.5790289,1,,,,,POINT (107.5790289 12.1964665)
5535143398,12.1976318,107.5784697,3,,,,,POINT (107.5784697 12.1976318)
5902555023,12.2901649,107.6054593,3,,,,,POINT (107.6054593 12.2901649)
5902555031,12.2928707,107.6076912,3,,,,,POINT (107.6076912 12.2928707)
5902555032,12.2956402,107.6071274,1,,,,,POINT (107.6071274 12.2956402)
5902555049,12.291643,107.6076954,1,,,,,POINT (107.6076954 12.291643)
5902555050,12.2922781,107.6083108,3,,,,,POINT (107.6083108 12.2922781)
5902555061,12.2930222,107.6120223,1,,,,,POINT (107.6120223 12.2930222)
6665928081,12.1978673,107.5699761,3,,,,,POINT (107.5699761 12.1978673)
6665928109,12.1889277,107.5619375,3,,,,,POINT (107.5619375 12.1889277)
6665928110,12.191124,107.54907,3,,,,,POINT (107.54907 12.191124)
6665928174,12.2033961,107.5681143,3,,,,,POINT (107.5681143 12.2033961)
6665928184,12.2081474,107.4823867,3,,,,,POINT (107.4823867 12.2081474)
6665928185,12.2053603,107.4800212,4,,,,,POINT (107.4800212 12.2053603)
6665928191,12.2022302,107.4867851,3,,,,,POINT (107.4867851 12.2022302)
6665928213,12.1963734,107.5042382,3,,,,,POINT (107.5042382 12.1963734)
6665928238,12.203437,107.4911607,3,,,,,POINT (107.4911607 12.203437)
6665928245,12.2102718,107.4992788,3,,,,,POINT (107.4992788 12.2102718)
6665928261,12.2240568,107.4974281,3,,,,,POINT (107.4974281 12.2240568)
6665928263,12.2057955,107.5126737,3,,,,,POINT (107.5126737 12.2057955)
6665928271,12.2043451,107.5133463,3,,,,,POINT (107.5133463 12.2043451)
6665928302,12.2003007,107.5064939,3,,,,,POINT (107.5064939 12.2003007)
6665928307,12.2023193,107.5015479,3,,,,,POINT (107.5015479 12.2023193)
6665928321,12.2044297,107.4882737,3,,,,,POINT (107.4882737 12.2044297)
