osmid,y,x,street_count,junction,highway,ref,railway,geometry
2395888501,20.9741702,107.0167737,4,,,,,POINT (107.0167737 20.9741702)
2395888525,20.9764682,107.0157148,3,,,,,POINT (107.0157148 20.9764682)
2395888532,20.9760026,107.0209028,4,,,,,POINT (107.0209028 20.9760026)
2395888535,20.9768949,107.0172861,3,,,,,POINT (107.0172861 20.9768949)
2395890594,20.9621106,107.0172055,3,,,,,POINT (107.0172055 20.9621106)
2395890601,20.9622757,107.0169857,3,,,,,POINT (107.0169857 20.9622757)
2395890602,20.9594594,107.0119135,4,,,,,POINT (107.0119135 20.9594594)
2395890604,20.9626305,107.0043569,3,,,,,POINT (107.0043569 20.9626305)
2395890614,20.9611313,107.0163607,3,,,,,POINT (107.0163607 20.9611313)
2395890622,20.9700045,107.0162718,3,,,,,POINT (107.0162718 20.9700045)
2395890625,20.9633563,107.0172458,3,,,,,POINT (107.0172458 20.9633563)
2395890626,20.9703995,107.0142987,4,,,,,POINT (107.0142987 20.9703995)
2395890629,20.9614506,107.0171814,3,,,,,POINT (107.0171814 20.9614506)
2395890632,20.9611622,107.0169781,4,,,,,POINT (107.0169781 20.9611622)
2395890633,20.9614294,106.9971386,3,,,,,POINT (106.9971386 20.9614294)
2395890634,20.9625815,107.0046661,3,,,,,POINT (107.0046661 20.9625815)
2395890645,20.9590296,107.0125868,3,,,,,POINT (107.0125868 20.9590296)
2395890655,20.9588719,107.0144748,3,,,,,POINT (107.0144748 20.9588719)
2395890656,20.9626778,107.0171796,3,,,,,POINT (107.0171796 20.9626778)
2395891392,20.9723365,107.0141562,3,,,,,POINT (107.0141562 20.9723365)
2395894707,20.9772747,107.0141886,3,,,,,POINT (107.0141886 20.9772747)
2395894708,20.9767917,107.0129829,3,,,,,POINT (107.0129829 20.9767917)
2396876402,20.9780969,107.0124235,1,,,,,POINT (107.0124235 20.9780969)
2396876407,20.9793717,107.0125211,4,,,,,POINT (107.0125211 20.9793717)
2396885686,20.9779107,107.0075638,4,,,,,POINT (107.0075638 20.9779107)
2396885709,20.9826128,107.0098658,3,,,,,POINT (107.0098658 20.9826128)
2396885722,20.9892449,107.0073854,1,,,,,POINT (107.0073854 20.9892449)
2396885732,20.9780677,107.0039278,3,,,,,POINT (107.0039278 20.9780677)
2396885739,20.978403,107.003835,3,,,,,POINT (107.003835 20.978403)
2396885751,20.981393,107.0083173,3,,,,,POINT (107.0083173 20.981393)
