osmid,y,x,street_count,highway,ref,junction,railway,geometry
8805322707,21.3107325,105.8130758,3,,,,,POINT (105.8130758 21.3107325)
8805322709,21.3110772,105.812261,1,,,,,POINT (105.812261 21.3110772)
8805322710,21.310709,105.8131149,3,,,,,POINT (105.8131149 21.310709)
8805322713,21.3110044,105.8102042,1,,,,,POINT (105.8102042 21.3110044)
8805325921,21.3116086,105.8151631,4,,,,,POINT (105.8151631 21.3116086)
8805325929,21.3116596,105.8129035,3,,,,,POINT (105.8129035 21.3116596)
8805325930,21.3120608,105.8132887,3,,,,,POINT (105.8132887 21.3120608)
8805349455,21.3117767,105.8237404,3,,,,,POINT (105.8237404 21.3117767)
8805349457,21.3099644,105.8230284,3,,,,,POINT (105.8230284 21.3099644)
8805349461,21.3133169,105.8187237,3,,,,,POINT (105.8187237 21.3133169)
8805349473,21.3142308,105.8220531,3,,,,,POINT (105.8220531 21.3142308)
8805349476,21.312166,105.8230216,3,,,,,POINT (105.8230216 21.312166)
8805349479,21.3123635,105.8203975,3,,,,,POINT (105.8203975 21.3123635)
8805349483,21.3117636,105.8237653,3,,,,,POINT (105.8237653 21.3117636)
8805349484,21.3135212,105.8232965,3,,,,,POINT (105.8232965 21.3135212)
8805388987,21.3304862,105.8198522,3,,,,,POINT (105.8198522 21.3304862)
8805404123,21.1756637,105.6637823,3,,,,,POINT (105.6637823 21.1756637)
8805404128,21.1736027,105.6647185,1,,,,,POINT (105.6647185 21.1736027)
8805404135,21.175222,105.6625879,1,,,,,POINT (105.6625879 21.175222)
8805404142,21.1798178,105.6624323,3,,,,,POINT (105.6624323 21.1798178)
8805404143,21.1758384,105.6617349,3,,,,,POINT (105.6617349 21.1758384)
8805404144,21.1760573,105.6616142,3,,,,,POINT (105.6616142 21.1760573)
8805404153,21.1776589,105.6655254,3,,,,,POINT (105.6655254 21.1776589)
8805404155,21.1779982,105.6664071,3,,,,,POINT (105.6664071 21.1779982)
8805404160,21.1809415,105.6656374,3,,,,,POINT (105.6656374 21.1809415)
8805404164,21.1828755,105.6601998,1,,,,,POINT (105.6601998 21.1828755)
8805404165,21.1827878,105.6612819,3,,,,,POINT (105.6612819 21.1827878)
